end_lat,Conteo_geographic_pos,end_lng,member_casual
41.81,26,-87.59,member
41.81,2,-87.58,casual
41.81,2,-87.58,member
41.813996,19,-87.666589,casual
41.813996,7,-87.666589,member
41.81409271,58,-87.59700515,casual
41.81409271,59,-87.59700515,member
41.814093,7,-87.597005,casual
41.81620768,26,-87.63481935,casual
41.81620768,6,-87.63481935,member
41.816499,41,-87.606582,casual
41.816499,48,-87.606582,member
41.81665889,28,-87.61941246,casual
41.81665889,37,-87.61941246,member
41.816659,1,-87.619412,casual
41.819102,33,-87.643278,casual
41.819102,13,-87.643278,member
41.82,1,-87.73,member
41.82,10,-87.72,casual
41.82,6,-87.72,member
41.82,6,-87.71,casual
41.82,3,-87.71,member
41.82,47,-87.7,casual
41.82,23,-87.7,member
41.82,70,-87.69,casual
41.82,37,-87.69,member
41.82,8,-87.68,casual
41.82,8,-87.68,member
41.82,9,-87.67,casual
41.82,8,-87.67,member
41.82,1,-87.65,member
41.82,5,-87.64,casual
41.82,8,-87.64,member
41.82,4,-87.63,casual
41.82,15,-87.63,member
41.82,30,-87.62,casual
41.82,5,-87.62,member
41.82,19,-87.61,casual
41.82,3,-87.61,member
41.82,94,-87.6,casual
41.82,39,-87.6,member
41.82,3,-87.59,casual
41.82,7,-87.59,member
41.82168,32,-87.6216,casual
41.82168,7,-87.6216,member
41.822985,87,-87.6071,casual
41.822985,36,-87.6071,member
41.823015,1,-87.626568,casual
41.82301524,9,-87.62656802,casual
41.82301524,5,-87.62656802,member
41.823192,26,-87.676597,casual
41.823192,17,-87.676597,member
41.823465,7,-87.665577,casual
41.823465,18,-87.665577,member
41.823613,8,-87.650931,casual
41.823613,11,-87.650931,member
41.82446473,2,-87.59814486,casual
41.8246,65,-87.61678,casual
41.8246,43,-87.61678,member
41.826712,23,-87.683144,casual
41.826712,26,-87.683144,member
41.827059,20,-87.64572,casual
41.827059,23,-87.64572,member
41.82879202,52,-87.68060446,casual
41.82879202,32,-87.68060446,member
41.83,1,-87.79,member
41.83,1,-87.76,casual
41.83,1,-87.75,member
41.83,1,-87.74,casual
41.83,2,-87.73,member
41.83,6,-87.72,casual
41.83,2,-87.72,member
41.83,7,-87.71,member
41.83,4,-87.7,casual
41.83,1,-87.7,member
41.83,9,-87.69,casual
41.83,5,-87.69,member
41.83,31,-87.68,casual
41.83,20,-87.68,member
41.83,35,-87.67,casual
41.83,14,-87.67,member
41.83,6,-87.66,casual
41.83,3,-87.66,member
41.83,39,-87.65,casual
41.83,24,-87.65,member
41.83,18,-87.64,casual
