ride_length,Conteo_ridelength,member_casual
00:09:54,2638,member
00:09:55,1762,casual
00:09:55,2690,member
00:09:56,1638,casual
00:09:56,2713,member
00:09:57,1730,casual
00:09:57,2672,member
00:09:58,1753,casual
00:09:58,2563,member
00:09:59,1610,casual
00:09:59,2636,member
00:10:00,1680,casual
00:10:00,2591,member
00:10:01,1571,casual
00:10:01,2657,member
00:10:02,1673,casual
00:10:02,2576,member
00:10:03,1657,casual
00:10:03,2619,member
00:10:04,1734,casual
00:10:04,2621,member
00:10:05,1715,casual
00:10:05,2684,member
00:10:06,1739,casual
00:10:06,2629,member
00:10:07,1638,casual
00:10:07,2610,member
00:10:08,1712,casual
00:10:08,2577,member
00:10:09,1669,casual
00:10:09,2567,member
00:10:10,1708,casual
00:10:10,2601,member
00:10:11,1662,casual
00:10:11,2585,member
00:10:12,1758,casual
00:10:12,2630,member
00:10:13,1672,casual
00:10:13,2595,member
